66.2.12.1,Revolver,TRUE,retro rainbow,Columbia,Stereo,SW 2576,
67.1.02.1,Meet The Beatles!,FALSE,rainbow with brackets,RCA,Mono,T-2047,
67.1.02.2,Meet The Beatles!,FALSE,rainbow with brackets,RCA,Stereo,ST-2047,
67.1.02.3,Meet The Beatles!,FALSE,rainbow with brackets,RCA,Stereo,ST-2047,
67.1.02.4,Meet The Beatles!,TRUE,rainbow with brackets,RCA,Stereo,ST-2047,
67.1.04.1,Meet The Beatles!,TRUE,green target,RCA,Stereo,ST-2047,
67.1.05.1,Meet The Beatles!,TRUE,red target,RCA,Stereo,ST-2047,
67.1.06.1,Meet The Beatles!,TRUE,orange 1st gen,RCA,Stereo,ST-2047,
67.1.06.2,Meet The Beatles!,TRUE,orange 1st gen,Columbia,Stereo,ST-2047,
67.1.07.1,Meet The Beatles!,FALSE,orange 2nd gen,Columbia,Stereo,ST-2047,
67.1.08.1,Meet The Beatles!,FALSE,orange 3rd gen,Capitol,Stereo,ST-2047,
67.1.09.1,Meet The Beatles!,FALSE,purple 1st gen,unidentified,Stereo,ST-2047,
67.1.10.1,Meet The Beatles!,FALSE,purple 2nd gen,Capitol,Stereo,ST-2047,
67.1.10.2,Meet The Beatles!,FALSE,purple 2nd gen,Capitol,Stereo,ST-2047,
67.1.11.1,Meet The Beatles!,TRUE,purple 3rd gen,Capitol,Stereo,ST-2047,
67.1.11.2,Meet The Beatles!,TRUE,purple 3rd gen,Capitol,Stereo,ST-2047,
67.1.12.1,Meet The Beatles!,TRUE,retro rainbow,Columbia,Stereo,ST-2047,
67.1.12.2,Meet The Beatles!,TRUE,retro rainbow,Columbia,Stereo,ST-2047,
67.2.02.1,The Beatles' Second Album,FALSE,rainbow with brackets,RCA,Mono,T-2080,
67.2.02.2,The Beatles' Second Album,TRUE,rainbow with brackets,RCA,Stereo,ST-2080,
67.2.02.3,The Beatles' Second Album,FALSE,rainbow with brackets,RCA,Stereo,ST-2080,
67.2.02.4,The Beatles' Second Album,TRUE,rainbow with brackets,RCA,Stereo,ST-2080,
67.2.02.5,The Beatles' Second Album,TRUE,rainbow with brackets,RCA,Stereo,ST-2080,
67.2.04.1,The Beatles' Second Album,TRUE,green target,RCA,Stereo,ST-2080,
67.2.05.1,The Beatles' Second Album,TRUE,red target,RCA,Stereo,ST-2080,
67.2.06.1,The Beatles' Second Album,FALSE,orange 1st gen,RCA,Stereo,ST-2080,
67.2.06.2,The Beatles' Second Album,TRUE,orange 1st gen,Columbia,Stereo,ST-2080,
67.2.07.1,The Beatles' Second Album,TRUE,orange 2nd gen,Columbia,Stereo,ST-2080,
67.2.08.1,The Beatles' Second Album,FALSE,orange 3rd gen,Capitol,Stereo,ST-2080,
67.2.09.1,The Beatles' Second Album,TRUE,purple 1st gen,unidentified,Stereo,ST-2080,
67.2.10.1,The Beatles' Second Album,TRUE,purple 2nd gen,Capitol,Stereo,ST-2080,
67.2.11.1,The Beatles' Second Album,TRUE,purple 3rd gen,Capitol,Stereo,ST-2080,
67.2.12.1,The Beatles' Second Album,FALSE,retro rainbow,Columbia,Stereo,ST-2080,
67.3.02.1,Sgt Pepper's Lonely Hearts Club Band,TRUE,rainbow with brackets,Compo,Mono,MAS-2653,
67.3.02.2,Sgt Pepper's Lonely Hearts Club Band,TRUE,rainbow with brackets,Compo,Stereo,SMAS-2653,
67.3.02.3,Sgt Pepper's Lonely Hearts Club Band,TRUE,rainbow with brackets,Compo,Mono,MAS-2653,
67.3.02.4,Sgt Pepper's Lonely Hearts Club Band,TRUE,rainbow with brackets,Compo,Stereo,SMAS-2653,
67.3.02.5,Sgt Pepper's Lonely Hearts Club Band,TRUE,rainbow with brackets,Compo,Stereo,SMAS-2653,
67.3.04.1,Sgt Pepper's Lonely Hearts Club Band,TRUE,green target,Compo,Stereo,SMAS-2653,
67.3.04.2,Sgt Pepper's Lonely Hearts Club Band,TRUE,green target,Compo,Stereo,SMAS-2653,
67.3.05.1,Sgt Pepper's Lonely Hearts Club Band,TRUE,red target,Compo,Stereo,SMAS-2653,
67.3.06.1,Sgt Pepper's Lonely Hearts Club Band,TRUE,orange 1st gen,Compo,Stereo,SMAS-2653,
67.3.07.1,Sgt Pepper's Lonely Hearts Club Band,TRUE,orange 2nd gen,Columbia,Stereo,SMAS-2653,
67.3.08.1,Sgt Pepper's Lonely Hearts Club Band,TRUE,orange 3rd gen,Capitol,Stereo,SMAS-2653,
67.3.08.2,Sgt Pepper's Lonely Hearts Club Band,TRUE,orange 3rd gen,Capitol,Stereo,SMAS-2653,
67.3.09.1,Sgt Pepper's Lonely Hearts Club Band,TRUE,purple 1st gen,unidentified,Stereo,SMAS-2653,
67.3.10.1,Sgt Pepper's Lonely Hearts Club Band,FALSE,purple 2nd gen,unidentified,Stereo,SMAS-2653,
67.3.10.2,Sgt Pepper's Lonely Hearts Club Band,TRUE,purple 2nd gen,Capitol,Stereo,SEAV-11840,
67.3.10.3,Sgt Pepper's Lonely Hearts Club Band,TRUE,purple 2nd gen,Capitol,Stereo,SMAS-2653,
67.3.11.1,Sgt Pepper's Lonely Hearts Club Band,TRUE,purple 3rd gen,Capitol,Stereo,SMAS-2653,
67.3.12.1,Sgt Pepper's Lonely Hearts Club Band,TRUE,retro rainbow,Columbia,Stereo,SMAS-2653,
67.4.02.1,Magical Mystery Tour,TRUE,rainbow with brackets,RCA,Mono,MAL-2835,
67.4.02.2,Magical Mystery Tour,TRUE,rainbow with brackets,Compo,Stereo,SMAL-2835,
67.4.02.3,Magical Mystery Tour,FALSE,rainbow with brackets,RCA,Mono,SMAL-2835,
67.4.02.4,Magical Mystery Tour,TRUE,rainbow with brackets,Compo,Stereo,SMAL-2835,
67.4.04.1,Magical Mystery Tour,TRUE,green target,Compo,Stereo,SMAL-2835,
67.4.05.1,Magical Mystery Tour,TRUE,red target,Compo,Stereo,SMAL-2835,
67.4.06.1,Magical Mystery Tour,TRUE,orange 1st gen,Compo,Stereo,SMAL-2835,
67.4.07.1,Magical Mystery Tour,TRUE,orange 2nd gen,Columbia,Stereo,SMAL-2835,
67.4.08.1,Magical Mystery Tour,FALSE,orange 3rd gen,Capitol,Stereo,SMAL-2835,
67.4.08.2,Magical Mystery Tour,FALSE,orange 3rd gen,Capitol,Stereo,SMAL-2835,
67.4.09.1,Magical Mystery Tour,FALSE,purple 1st gen,unidentified,Stereo,SMAL-2835,
67.4.10.1,Magical Mystery Tour,TRUE,purple 2nd gen,Capitol,Stereo,SMAL-2835,
67.4.10.2,Magical Mystery Tour,TRUE,purple 2nd gen,Capitol,Stereo,SMAL-2835,
67.4.11.1,Magical Mystery Tour,TRUE,purple 3rd gen,Capitol,Stereo,SMAL-2835,
67.4.11.1a,Magical Mystery Tour,TRUE,purple 3rd gen,Capitol,Stereo,SMAL-2835,
67.4.12.1,Magical Mystery Tour,FALSE,retro rainbow,Cinram,Stereo,SMAL-2835,
67.4.12.2,Magical Mystery Tour,TRUE,retro rainbow,Columbia,Stereo,SMAL-2835,
68.1.02.1,The Early Beatles,FALSE,rainbow with brackets,RCA,Stereo,ST-2309,
68.1.02.2,The Early Beatles,TRUE,rainbow with brackets,RCA,Stereo,ST-2309,
68.1.02.3,The Early Beatles,TRUE,rainbow with brackets,RCA,Stereo,ST-2309,
68.1.04.1,The Early Beatles,TRUE,green target,RCA,Stereo,ST-2309,
68.1.05.1,The Early Beatles,TRUE,red target,RCA,Stereo,ST-2309,
68.1.06.1,The Early Beatles,TRUE,orange 1st gen,RCA,Stereo,ST-2309,
68.1.06.2,The Early Beatles,TRUE,orange 1st gen,RCA Dynaflex,Stereo,ST-2309,
68.1.07.1,The Early Beatles,TRUE,orange 2nd gen,Columbia,Stereo,ST-2309,
68.1.08.1,The Early Beatles,FALSE,orange 3rd gen,Capitol,Stereo,ST-2309,
68.1.09.1,The Early Beatles,TRUE,purple 1st gen,unidentified,Stereo,ST-2309,
68.1.10.1,The Early Beatles,FALSE,purple 2nd gen,Capitol,Stereo,ST-2309,
68.1.11.1,The Early Beatles,TRUE,purple 3rd gen,Capitol,Stereo,ST-2309,
68.1.12.1,The Early Beatles,FALSE,retro rainbow,Columbia,Stereo,ST-2309,
68.2.03.1,The Beatles,TRUE,Apple,Compo,Stereo,SWBO-101,
68.2.03.2,The Beatles,TRUE,Apple,Compo,Stereo,SWBO-101,
68.2.03.3,The Beatles,FALSE,Apple,Compo,Stereo,SWBO-101,
68.2.03.4,The Beatles,TRUE,Apple,RCA,Stereo,SWBO-101,
68.2.03.5,The Beatles,FALSE,Apple,Compo,Stereo,SWBO-101,
68.2.03.6,The Beatles,TRUE,Apple,RCA,Stereo,SWBO-101,
68.2.03.7,The Beatles,FALSE,Apple,Compo,Stereo,SWBO-101,
68.2.03.8,The Beatles,TRUE,Apple,Columbia,Stereo,SWBO-101,
68.2.07.1,The Beatles,TRUE,orange 2nd gen,Columbia,Stereo,SWBO-101,
